Permission Name,API Name,Description
Access to manage the template framework templates,AppFrameworkManageTemplate,"Allows access to create, update, and manage app templates."
Access to view templated apps and assets,AppFrameworkViewApp,"Allows access to app, analytics, data, and other assets that are created from the template framework."
Applicant Community Pages,ApplicantCommunityPages,Provides access to the applicant community pages.
Enables the Appointment Booking feature,AppointmentBookingUserAccess,Enables the Appointment Booking feature.
Approval Admin,ApprovalAdmin,Approval Admin
Approval Designer,ApprovalDesigner,Approval Designer
Approve Contracts,ApproveContract,Approve or reject a contract from a related list.
Approve Orders,ApproveOrder,Approve or reject an order from a related list.
Archive Articles,ArchiveArticles,Allow user to archive Knowledge articles.
Discovery Framework Platform User,AssessmentPlatformUser,Grant access to Discovery Framework-specific objects and fields.
Assign Permission Sets,AssignPermissionSets,Assign permission sets to users.
Assign Topics,AssignTopics,Assign existing topics to feed items. Remove topics from feed items.
Assign Chat Skills to Users,AssignUserToSkill,Assign Chat skills to other users.
User license to access Record Association Builder in Financial Services Cloud.,AssociationEngineUserAccess,User license to access Record Association Builder in Financial Services Cloud.
Attribution Model User,AttributionModelUser,Allows user to access the Attribution Model
Author Apex,AuthorApex,Create Apex classes and triggers.
Authorize Payments,AuthorizePayments,Authorize payments.
Use Einstein Automated Contacts,AutomatedDataEntry,See suggestions of data to add to Salesforce.
Activate Email for Automation,AutomateEmailContent,Activate email content records for use in Engagement Studio.
Use Einstein Activity Capture,AutomaticActivityCapture,Keep data between Salesforce and email and calendar applications up to date.
Manage Autonomous Insights Data Privacy,AutonomousAnalyticsPrivacy,View and delete user data stored by Autonomous Insights.
Commerce Integrator User,B2BCommerceIntegrator,Let users process integrations and export and import orders from external order management systems.
B2B Commerce Super User,B2BCommerceSuperUser,"Let site members access all the carts and orders related to their account, regardless of who the carts and orders owners are."
Commerce User,B2BCommerceUser,Let site members access the store.
Create B2B Marketing Analytics Apps,B2BMarketingAnalyticsUser,View and create B2B Marketing Analytics apps.
B2C Commerce User,B2CCommerceUser,Let site members access the B2C checkout.
Enable community users to access Benefit Assistance objects and features.,BACommunityAccess,Enable community users to access Benefit Assistance objects and features.
Manage Behavioral Health App,BehavioralHealthAppUserAccess,Give users access to the Behavioral Health app.
Manage Bots,BotManageBots,Manage bot configuration.
Manage Bots Training Data,BotManageBotsTrainingData,View and manage bot training data.
User license to access Branch Management in Financial Services Cloud.,BranchManagementUserAccess,User license to access Branch Management in Financial Services Cloud.
Access Record Alerts for Business Rules Engine,BREAlertsUserAccess,Grants access to record alerts for users using Business Rules Engine.
Send One-to-Many Messages,Broadcaster,"Send bulk SMS text messages from a list view. Supports contacts, accounts, person accounts, employees, and messaging end users."
Bulk API Hard Delete,BulkApiHardDelete,Delete records in the Bulk API without storing them in the Recycle Bin.
Run Macros on Multiple Records,BulkMacrosAllowed,Run macros on multiple records at the same time.
Use objects in the Benefit Verification data model via Experience Cloud sites,BVCommunityAccess,Gives users the required access to records of the relevant Benefits Verification objects in Experience Cloud sites.
Bypass Email Approval,BypassEmailApproval,Allows users to bypass email approval process and send email directly.
Waive Multi-Factor Authentication for Exempt Users,BypassMFAForUiLogins,"Disable MFA challenges on direct UI logins for users or orgs that aren’t required by Salesforce to use multi-factor authentication, per the Salesforce Trust and Compliance Documentation. This permission overrides the Multi-Factor Authentication for User Interface Logins user permission and the Require multi-factor authentication (MFA) for all direct UI logins to your Salesforce org setting."
Use Conversation Insights for Sales,CallCoachingUser,Lets users access Einstein Conversation Insights for Sales.
Campaign Influence,CampaignInfluence2,Enable Access to Customizable Campaign Influence
Access Conversation Entries,CanAccessCE,Grants users access to Conversation Entries
Can Approve Feed Post and Comment,CanApproveFeedPost,Lets users control the visibility of content to other users by updating the status of a feed item or comment from pending review to published or from published to pending review.
Act As User,CanDoActAsUser,Gives the mapped user ability to access core data in a multi org use case that use C2C Act As User JWT for authN. (Note: This permission is for testing purposes only and should be used with CloudToCloudPilotFeatures)
Can edit Power Insights,CanEditAnalysis,Can edit power insights analysis report.
Edit Dataset Recipes,CanEditDataPrepRecipe,Create and edit dataset recipes using source datasets.
Design and Deliver In-App Guidance,CanEditPrompts,"Create, edit, and delete prompts and walkthroughs in Lightning Experience."
Initiate Messaging Sessions,CanInitiateMessagingSessions,Initiate messaging sessions with customers by sending outbound messages in enhanced Messaging channels and Messaging for In-App.
Insert System Field Values for Chatter Feeds,CanInsertFeedSystemFields,Set the author or creation date for a Chatter post or comment.
Manage CRM Analytics Custom Maps,CanManageMaps,"Add, edit, and delete maps, and upload geoJSONs."
Can Marketing User Debug Marketing Flows,CanMarketingUserDebugFlow,Allow marketing users to debug marketing flows.
Can Run Einstein Discovery for Reports,CanRunAnalysis,Can run analysis on reports.
Send Initial SMS Message to Individual,CanSendInitialSMSToIndividual,"Enable users to initiate a conversation with individuals via SMS. Without this permission, users will need to wait for individuals to initiate a conversations."
Control Call Recording,CanToggleCallRecordings,Pause and resume recording of individual calls in Service Cloud Voice. Call recording must be configured in your telephony provider settings.
Update Email Messages,CanUpdateEmailMessage,Modify certain email message related records.
Drag-and-Drop Dashboard Builder,CanUseNewDashboardBuilder,"Create, edit, and delete dashboards through the drag-and-drop dashboard builder interface."
Verify Answers to Chatter Questions,CanVerifyComment,Mark answers to Chatter questions as verified.
Recipes View Only,CanViewDataPrepRecipe,Provides access in data manager to view the recipe list and open recipes in view-only mode
Capture and Reverse Payments,CaptureAndReversePayments,Capture and reverse authorized payments.
View and Act on Einstein Wrap-Up Recommendations,CaseWrapUpUser,View and apply Einstein Wrap-Up Recommendations on case fields in Lightning Experience.
Allows community users to access Composable Case Management objects and features.,CCMCommunityAccess,Allows community users to access Composable Case Management objects and features.
Allow access to creating and editing reports in Data Cloud Reporting,CdcReportingCreateReports,"Create, edit, and delete Data Cloud reports."
Allow access to managing folders in Data Cloud Reporting,CdcReportingManageFolders,Manage folders created for Data Cloud Reporting.
Allow access to viewing reports in Data Cloud Reporting,CdcReportingViewReports,View Data Cloud reports.
Manage Chain Of Custody Features,ChainOfCustodyUser,Manage Chain Of Custody Features
Change Dashboard Colors,ChangeDashboardColors,Choose dashboard color theme and palette.
Allow Inclusion of Code Snippets from UI,ChatterComposeUiCodesnippet,Allow users to post code snippets from the UI where available.
Edit My Own Posts,ChatterEditOwnPost,Allow users to edit their own feed items.
Edit Posts on Records I Own,ChatterEditOwnRecordPost,Allow users to edit feed items they manage.
Enable Chatter,ChatterEnabledForUser,Use Chatter.
Create Public Links,ChatterFileLink,"Let users create links to share files externally. Unlike content deliveries, public links can't be password protected. To let a user create links to files in a library, enable Deliver Content for that user in the library."
Chatter Internal User,ChatterInternalUser,Use all Chatter features.
Invite Customers To Chatter,ChatterInviteExternalUsers,Invite Customers To Chatter
Create and Own New Chatter Groups,ChatterOwnGroups,Create and own new Chatter groups.
Conversation Insights Partner Integration User,CIPartnerIntegrationUser,"Give a telephony integration partner user permission to create calls and recordings, so third-party telephony providers can use Conversation Insights."
Access Virtual Desktop Infrastructure for Voice Calls through Citrix,CitrixVDIPlatform,Grant users virtual desktop (VDI) support to communicate with callers remotely through the Citrix platform backend.
Allows clause designers to create and manage clauses,ClauseDesigner,Allows clause designers to create and manage clauses
Allows users to use clauses in Digital Experience sites,ClauseDEUser,Allows users to use clauses in Digital Experience sites
Allows users to use clauses within documents,ClauseUser,Allows users to use clauses within documents
Allow consumer key and secret rotation,ClientSecretRotation,Allows a user to rotate a connected app’s consumer key and secret.
Close Conversation Threads,CloseConversations,"Close conversation threads in profile, group, and topic feeds in Experience Cloud sites."
Migrate Enablement Content,CMSECEAuthoringAccess,Upload migrated content from your enablement site to the Enablement workspace in Digital Experiences.
Code Builder User,CodeBuilderUser,Allows the user to create and access Code Builder environments.
Allow Sale Payments,CombAuthAndCapPayments,Authorize and capture payments for a sale transaction.
Commerce Buyer and Entitlements Integrator,CommerceEntitlementIntegrator,Gives users access to buyer and entitlement data for third-party system integration.
Commerce Shipment User,CommerceShipmentIntegrator,Gives users access to shipment information. Their access to shipments is controlled by their access to order summaries.
Provides access to Complaints Management features and objects.,ComplaintsManagementAccess,Provides access to Complaints Management features and objects.
Compute Access,ComputeAccess,Allows access to any Salesforce Functions functionality that relies on Heroku Platform including login through CLI.
Compute Production Access,ComputeProductionAccess,Allows access to perform any actions to the Production Salesforce Functions space.
Configure Compliant Data Sharing,ConfigCompliantDataSharing,Grant users access to advanced configuration for compliant data sharing.
Configure Custom Recommendations,ConfigCustomRecs,"Add custom recommendations in the feed, motivating users to get engaged and take action."
Configure Dataspace Scope,ConfigureDataspaceScope,"Grants users access to view, create, edit, and delete a restriction rule for a Dataspace Scope"
Configure Messaging,ConfigureLiveMessage,Configure Messaging settings.
Connect Organization to Environment Hub,ConnectOrgToEnvironmentHub,Allows a user to connect this organization to an Environment Hub.
Update Consent Preferences Using REST API,ConsentApiUpdate,Use the PATCH method on the Consent REST API resource to update consent preferences.
Manage Consent Banner Settings,ConsentBannerSettingsSetup,Provides access to manage Consent Banner Settings.
Manage Contact Center for Health Cloud,ContactCenterUserAccess,Manage member enquiries and requests with Contact Center for Health Cloud.
Access Contact Intelligence View in Partner Sites,ContactInspectorUser,Gives partner users access to Contact Intelligence View.
Manage Salesforce CRM Content,ContentAdministrator,"Create, edit, and delete libraries and library memberships."
Files Connect Cloud,ContentHubUser,"Access cloud-based external content sources, such as SharePoint Online."
Access Libraries,ContentWorkspaces,Access libraries.
Convert Leads,ConvertLeads,"Convert leads into accounts, contacts, and opportunities."
Establish an Approved PRM External Integration,CosellAuthSetupUser,Acknowledges that this partner user is a trusted admin or IT professional working for a partnering company who you expect to initiate the creation of a Named Credential in this org. The Named Credential is created for the Partner Relationship Management (PRM) feature Partner Connect and its required external client app. Partner Connect lets you and your partner integrate records between your org and the partner's own CRM application.
Export Vendor Records to an Authorized Partner Org,CosellExportUser,"Allows partner users to export records from your Experience Cloud partner site to the partner's preauthorized Salesforce org using the Export to My CRM button. Export to My CRM is available for vendors who use the Partner Relationship Management (PRM) feature Partner Connect. Before partners can see the button in a vendor's partner site, vendors and partners must complete feature setup, including successfully connecting orgs. Vendors also must add the button to their record list views."
Set Audit Fields upon Record Creation,CreateAuditFields,"Set audit fields, such as Created By and Last Modified By, when you create a record (API only)."
Create and Customize Dashboards,CreateCustomizeDashboards,"Create, edit, and delete dashboards in personal folders."
Create and Customize List Views,CreateCustomizeFilters,Create list views; modify and delete own list views.
Create and Customize Reports,CreateCustomizeReports,"Create, edit, and delete reports in personal folders."
Create Dashboard Folders,CreateDashboardFolders,Create dashboard folders and manage these folders if sharing rights allow.
Create or Edit Flows,CreateEditNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to create and edit flows."
Create Folders for Lightning Email Templates,CreateLtngTempFolder,Create Folders for Lightning Email Templates
Manage Public Lightning Email Templates,CreateLtngTempInPub,Manage Lightning email templates in the public folder.
Create or Modify Automation Event-Triggered Flows,CreateModAutEvtNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to create, edit, and delete automation event-triggered flows."
Create or Modify Flows with Data Graph Event Triggers,CreateModDGTrigNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to create, edit, and delete automation-event triggered flows with a custom real-time data graph event as the trigger."
Create or Modify Form-Triggered Flows,CreateModFormTrigNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to create, edit, and delete form-triggered flows."
Create or Modify Segment-Triggered Flows,CreateModSgmtTrigNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to create, edit, and delete segment-triggered flows."
Create AppExchange Packages,CreatePackaging,Create packages that can be distributed through AppExchange.
Create Reduction Orders,CreateReductionOrder,Create a reduction order.
Create Report Folders,CreateReportFolders,Create report folders and manage these folders if sharing rights allow.
Report Builder (Lightning Experience),CreateReportInLightning,"Create, edit, and delete reports using the enhanced report builder interface. Only available in Lightning Experience."
Create Topics,CreateTopics,Create new topics by assigning them to feed items.
Create and Update Einstein Discovery Datasets,CreateUpdateSDDDataset,Create and update Einstein Discovery datasets (deprecated).
Create and Update Einstein Discovery Models,CreateUpdateSDDStory,Create and update Einstein Discovery models.
Create custom Badge Definitions,CreateWorkBadgeDefinition,Create custom badge definitions.
Create Libraries,CreateWorkspaces,Create libraries.
Manage Crisis Support Center Management App,CrisisCenterUserAccess,Give users access to the Crisis Support Center Management app to provide crisis support services to clients.
Custom Applications for Field Service Mobile,CustomAppsOnFSMobile,Enable Custom Applications in the Field Service mobile app. This requires enabling the Lightning SDK for Field Service Mobile org setting or the Lightning user permission.
Customize Application,CustomizeApplication,Customize the organization using App Setup menu options.
Access Custom Mobile Apps,CustomMobileAppsAccess,Allow user to run custom mobile apps.
Show Custom Sidebar On All Pages,CustomSidebarOnAllPages,Display a custom sidebar on all pages in Salesforce.com.
Salesforce Mobile App - Customizable Navigation (Winter '20 Pilot Only),CustomTabBarOnMobile,Access customizable navigation bar within Lightning Experience in the pilot new Salesforce mobile app.
Weekly Data Export,DataExport,Run the weekly data export service.
Permission to access Data Pipelines license,DataPipelinesAppConsumer,Permission to access Data Pipelines license
Disclosure and Compliance Hub plugin for Google Docs,DCHGoogleAddOnAuthor,Generate disclosure reports using the Disclosure and Compliance Hub plugin for Google Docs.
Disclosure and Compliance Hub Template Designer for Google Docs,DCHGoogleAddOnDesigner,Design disclosure report templates using the Disclosure and Compliance Hub plugin for Google Docs.
Disclosure and Compliance Hub plugin for Microsoft 365,DCHMSO365AddInAuthor,Generate disclosure reports using the Disclosure and Compliance Hub plugin for Microsoft 365.
Disclosure and Compliance Hub Templates Designer for Microsoft 365,DCHMSO365AddInDesigner,Design disclosure report templates using the Disclosure and Compliance Hub plugin for Microsoft 365.
Decimal Quantity Design time Access,DecimalQuantityDesigntime,Grants the edit/read access of Decimal Quantity features to the design time users.
Decimal Quantity Runtime Access,DecimalQuantityRuntime,Grants the read access of Decimal Quantity features to the runtime users.
Run Decision Tables,DecisionTableExecUserAccess,Provides users the permission to run Decision Tables.
Manage Sharing Calculation Deferral,DeferSharingCalculations,Suspend and resume sharing calculation.
Manage MFA in User Interface,DelegatedTwoFactor,Use tools in the user interface to manage and provide user support for multi-factor authentication.
Delete Activated Contracts,DeleteActivatedContract,"Delete contracts, regardless of their status."
Delete Credit Memo and Invoice,DeleteCrMemoAndInvoice,Allows a user to delete Credit Memo and Invoice records.
Delete Event Monitoring Records,DeleteEventMonitoringData,Delete records from EventLogFile and LoginEvent standard objects.
"Enable ""Delete From Field History""",DeleteFieldHistory,Enables deletion of field history
"Enable ""Delete From Field History Archive""",DeleteFieldHistoryArchive,Enables deletion of archived field history
Delete Flows,DeleteNonSetupFlow,"In Lightning Experience apps, allow users without the Manage Flow user permission to delete flows."
Delete Topics,DeleteTopics,Delete topics and remove all corresponding topic assignments from feed items.
Manage Context Rules,DesignContextRule,"Create, edit, and activate context rules."
Access Dialer for Essentials Inbound Calls,DialerBasicInbound,Receive inbound calls with Dialer for Essentials.
Access Dialer for Essentials Outbound Calls,DialerBasicOutbound,Make outbound calls with Dialer for Essentials.
Digital Lending Admin User,DigitalLendingAdminUser,Allow user access Digital Lending admin specific features
Digital Lending Edit Read Only Party Related Records,DigitalLendingEditReadOnly,Grant access to edit Party related records when Read Only is selected on the corresponding Party record and Turn on read only digital lending party related records.
Digital Lending User,DigitalLendingUser,Grants user to access Digital Lending specific features
Digital Lending Workbench,DigitalLendingWorkbench,Grants access to digital lending workbench features
Disease Surveillance,DiseaseSurveillance,Grant users access to Disease Surveillance features.
Create Content Deliveries,DistributeFromPersWksp,"Create content delivery links to share files that aren't managed by a library. To let a user create content deliveries for files in a library, enable Deliver Content for that user in the library."
Enables Designers to create Document Templates.,DocGenDesigner,Grants users access to create document templates.
Enables Customers and Partners to generate documents via communities.,DocGenRuntimeCCUser,Grants customers and partners access to generate documents through communities.
Enables Business users to generate documents.,DocGenRuntimeUser,Grants users access to generate documents.
User license to access IntelligentDocumentAutomation in Financial Services Cloud.,DocumentAutomationUserAccess,User license to access IntelligentDocumentAutomation in Financial Services Cloud.
User license to access the Document Checklist features.,DocumentChecklistUserAccess,User license to access the Document Checklist feature.
Permission to access Intelligent Document Workspace for community users,DocumentWorkspaceCmtyAccess,Gives the community user the access necessary to use the Intelligent Document Workspace feature.
Permission to access Intelligent Document Workspace,DocumentWorkspaceUserAccess,Gives the user the access necessary to use the Intelligent Document Workspace feature.
Download Package Version Zip Files,DownloadPackageVersionZips,Download zip files containing metadata for a previously published package version.
Dynamic Common Orchestrator User,DynamicCommonOrchestratorUser,Lets common Dynamic Orchestrator users use the orchestration engine
View Account Scores,EditAccountScoreFields,"View Engagement, Fit, and Account scores."
Edit Activated Orders,EditActivatedOrders,Edit an order record once it is activated.
Manage Billing,EditBillingInfo,Purchase additional licenses and features.
Manage Letterheads,EditBrandTemplates,"Create, edit, and delete letterheads for HTML emails."
Edit Building Energy Intensity,EditBuildingEnergyIntensity,Select the Data Processing Engine definition for building energy intensity calculations.
Edit Case Comments,EditCaseComments,Edit their own case comments but not other user's comments.
Edit Delivery Information,EditDeliveryInformation,Edit certain fields on Order Delivery Group Summaries.
Edit Events,EditEvent,"Create, edit, and delete events."
Edit HTML Templates,EditHtmlTemplates,Edit Classic HTML Email Templates.
Edit Invoices,EditInvoice,Edit invoice details on draft invoices.
Manage Articles,EditKnowledge,"Create, edit, assign, publish, delete, and archive Salesforce Knowledge articles."
