Permission Group,Permission Name,Permission Description,Resource URL,API Name
Security Admin Permissions,Multi-factor Authentication for API Logins,Allows the user to create a time-based token using a mobile phone to scan a QR code generated instead of the emailed security token in the API login attempt.,https://help.salesforce.com/s/articleView?id=sf.security_overview_2fa.htm&type=5&language=en_US,TwoFactorApi
Security Admin Permissions,Multi-factor Authentication for User Interface Logins,Allows the user to create a time-based token using the mobile phone to scan a QR code generated during login.,https://help.salesforce.com/s/articleView?id=sf.security_overview_2fa.htm&type=5&language=en_US,ForceTwoFactor
User Management Permissions,Assign Permission Sets,Allows the user to assign Permission Sets to users.,https://help.salesforce.com/s/articleView?id=sf.perm_sets_assigning.htm&language=en_US&type=5,AssignPermissionSets
User Management Permissions,Manage External Users,Allows the user to manage Partner Portal users.,https://help.salesforce.com/s/articleView?id=sf.networks_create_external_users.htm&type=5&language=en_US,ManagePartners
User Management Permissions,Manage Profiles and Permission Sets,"Allows the user to create, edit, and delete profiles and Permission Sets.",https://help.salesforce.com/s/articleView?id=sf.admin_userprofiles.htm&type=5&language=en_US,ManageProfilesets
User Management Permissions,Manage Roles,"Allows the user to create, edit, and delete roles.",https://help.salesforce.com/s/articleView?id=sf.admin_roles.htm&language=nl&type=5,ManageRoles
User Management Permissions,Password Never Expires,Allows the user to have a password that does not expire. This permission is good for any user that is only used for API integrations.,https://help.salesforce.com/s/articleView?id=sf.admin_password.htm&siteLang=en_US&type=5&language=en_US,PasswordNeverExpires
User Management Permissions,Reset User Passwords and Unlock Users,Allows the user to reset user passwords and unlock users.,https://help.salesforce.com/s/articleView?id=sf.resetting_and_expiring_passwords.htm&language=en_US&type=5,ResetPasswords
User Management Permissions,Use Identity Features,Allows the user to access Salesforce Identity features such as App Launcher.,https://developer.salesforce.com/docs/atlas.en-us.identityImplGuide.meta/identityImplGuide/identity_overview.htm?language=en,IdentityEnabled
User Management Permissions,View All Users,Allows the user to view all user objects regardless of Sharing Settings configuration.,https://help.salesforce.com/s/articleView?id=sf.admin_users.htm&type=5&language=en_US,ViewAllUsers
Data Permissions,Modify All Data,Allows the user to make changes to all data within the Salesforce Organization.,https://help.salesforce.com/s/articleView?id=sf.users_profiles_view_all_mod_all.htm&language=en_US&type=5,ModifyAllData
Data Permissions,View All Data,Allows the user to view all the data in the Salesforce Organization.,https://help.salesforce.com/s/articleView?id=sf.users_profiles_view_all_mod_all.htm&language=en_US&type=5,ViewAllData
Import and Export Permissions,Export Reports,Allows the user to use Export Details and Printable View to export reports.,https://help.salesforce.com/s/articleView?id=sf.reports_export.htm&language=en_US&type=5,ExportReport
Import and Export Permissions,Import Leads,Allows the user to import leads through the Import Wizard.,https://help.salesforce.com/s/articleView?id=sf.importing.htm&language=en_US&type=5,ImportLeads
Import and Export Permissions,Import Solutions,Allows the user to import Solutions using the Import Wizard.,https://help.salesforce.com/s/articleView?id=sf.importing.htm&language=en_US&type=5,SolutionImport
Import and Export Permissions,Manage Knowledge Article Import/Export,Allows the user to import/export Articles.,https://help.salesforce.com/s/articleView?id=sf.knowledge_setup_users.htm&language=en_US&type=5,ManageKnowledgeImportExport
Import and Export Permissions,Weekly Data Export,Allows the user to run the weekly Data Export Service.,https://help.salesforce.com/s/articleView?id=sf.admin_exportdata.htm&language=en_US&type=5,DataExport
Report and Dashboard Permissions,Create and Customize Reports,"Allows the user to create, edit, and delete reports.",https://help.salesforce.com/s/articleView?id=sf.reports_builder_editing.htm&language=en_US&type=5,CreateCustomizeReports
Report and Dashboard Permissions,Create Report Folders,"Allows the user to create, edit, and delete report folders.",https://help.salesforce.com/s/articleView?id=sf.creating_and_editing_folders.htm&language=en_US&type=5,CreateReportFolders
Report and Dashboard Permissions,Drag-and-Drop Dashboard Builder ,"- Allows the user to create, edit, and delete dashboards through the drag-and-drop interface.",https://help.salesforce.com/s/articleView?id=sf.rd_dashboards_build.htm&type=5&language=en_US,AccessContentBuilder
Report and Dashboard Permissions,Edit My Dashboards,"Allows the user to edit, move, save, and delete user's own dashboards.",https://help.salesforce.com/s/articleView?id=sf.dashboard_builder_editing.htm&language=en_US&type=5,EditMyDashboards
Report and Dashboard Permissions,Edit My Reports,"Allows user to edit, move, save, and delete user's own reports.",https://help.salesforce.com/s/articleView?id=sf.analytics_sharing_permissions.htm&language=en_US&type=5,EditMyReports
Report and Dashboard Permissions,Manage All Private Reports and Dashboards,Delete Reports and Dashboards from personal or private folders.,https://help.salesforce.com/s/articleView?language=en_US&type=1&id=How-to-delete-Reports-and-Dashboard-from-a-Personal-or-a-Private-Folder,ManagePvtRptsAndDashbds
Report and Dashboard Permissions,Manage Analytic Snapshots,"Allows the user to create, edit, and delete Analytic Snapshots.",https://help.salesforce.com/s/articleView?id=sf.data_managing_analytic_snap.htm&language=en_US&type=5,ManageAnalyticSnapshots
Report and Dashboard Permissions,Manage Custom Report Types,"Allows the user to create, edit, and delete custom report types.",https://help.salesforce.com/s/articleView?id=sf.reports_manage_report_type.htm&language=en_US&type=5,ManageCustomReportTypes
Report and Dashboard Permissions,Manage Dynamic Dashboards,"Allows the user to create, edit, and delete dynamic dashboards.",https://help.salesforce.com/s/articleView?id=sf.dashboards_dynamic_setting_up.htm&language=en_US&type=5,ManageDynamicDashboards
Report and Dashboard Permissions,Manage Reporting Snapshots,"Allows the user to create, edit, and delete reporting snapshots.",https://help.salesforce.com/s/articleView?id=sf.data_managing_analytic_snap.htm&language=en_U&type=5,ManageAnalyticSnapshots
Report and Dashboard Permissions,Report Builder,"Allows the user to create, edit, and delete reports using the Report Builder interface.",https://help.salesforce.com/s/articleView?id=sf.reports_builder_editing.htm&language=en_US&type=5,NewReportBuilder
Report and Dashboard Permissions,Run Reports,"Allows the user to view the reports tab, run reports, view dashboards based on reports.",https://help.salesforce.com/s/articleView?id=sf.rd_reports_run_read.htm&type=5&language=en_US,RunReports
Report and Dashboard Permissions,Schedule Dashboards,"Allows the user to schedule when dashboards refresh, and send email notifications that include refreshed dashboards in HTML format.",https://help.salesforce.com/s/articleView?id=sf.dashboards_schedule_refresh.htm&language=en_US&type=5,ScheduleJob
Report and Dashboard Permissions,Schedule Reports,"Allows the user to run reports in the background, and export results as a CSV or Excel file on completion.",https://help.salesforce.com/s/articleView?id=sf.reports_schedule.htm&language=en_US&type=5,ScheduleReports
Report and Dashboard Permissions,View My Team's Dashboards,Allows the user to view dashboards owned by people under them in the Role Hierarchy.,https://help.salesforce.com/s/articleView?id=sf.analytics_sharing_permissions.htm&language=en_US&type=5,ViewMyTeamsDashboards
Report and Dashboard Permissions,View Reports in Public Folders,Allows the user to view and access reports in public folders.,https://help.salesforce.com/s/articleView?id=sf.analytics_sharing_permissions.htm&language=en_US&type=5,ViewPublicReports
Developer Permissions,​​API Enabled,Allows the user execute API calls.,https://help.salesforce.com/s/articleView?id=sf.integrate_what_is_api.htm&language=en_US&type=5,ApiEnabled
Developer Permissions,Api Only User,Allows the user to access Salesforce through API only instead of the user interface.,https://help.salesforce.com/s/articleView?id=000003819&language=en_US&type=1,ApiUserOnly
Developer Permissions,Author Apex,Allows the user to create and EDIT Apex classes and Triggers.,https://help.salesforce.com/s/articleView?id=000193647&language=en_US&type=1,AuthorApex
Developer Permissions,Bulk API Hard Delete,Allows the user to delete records in the Bulk API without storing them in the Recycle Bin (soft delete).,https://help.salesforce.com/s/articleView?id=000171306&language=en_US&type=1,BulkApiHardDelete
Developer Permissions,Insert System Field Values for Chatter Feeds,Allows the user to set the CreatedById or CreatedDate for chatter post or comment from API when creating the record.,https://developer.salesforce.com/docs/atlas.en-us.object_reference.meta/object_reference/sforce_api_objects_feeditem.htm,CanInsertFeedSystemFields
Developer Permissions,Monitor Bulk Data Load Jobs,Allows the user to monitor or abort Bulk API jobs.,https://help.salesforce.com/s/articleView?id=sf.monitoring_async_api_jobs.htm&type=5&language=en_US,ManageDataIntegrations
Developer Permissions,Manage Flow,Allows the user to use Flows.,https://developer.salesforce.com/docs/atlas.en-us.salesforce_vpm_guide.meta/salesforce_vpm_guide/vpm_admin_flow_detail.htm,ManageInteraction
Developer Permissions,Run Flows,Allows the user to run Flows in Salesforce.,https://developer.salesforce.com/docs/atlas.en-us.salesforce_vpm_implementation_guide.meta/salesforce_vpm_implementation_guide/vpm_runtime.htm,RunFlow
Developer Permissions,Send Outbound Messages,Allows the user to send outbound messages to an external Web Service API.,https://developer.salesforce.com/docs/atlas.en-us.api.meta/api/sforce_api_om_outboundmessaging_setting_up.htm,EnableNotifications
Chatter and Communities Permissions,Create and Manage Communities,"Allows the user to create and manage Communities, add Community members, and customize the appearance.",https://help.salesforce.com/s/articleView?id=sf.siteforce_communities_branding_template.htm&language=en_US&type=5,ManageNetworks
Chatter and Communities Permissions,Create and Own New Chatter Groups,Allows the user to create and own new Chatter groups.,https://help.salesforce.com/s/articleView?id=sf.collab_group_creating.htm&language=en_US&type=5,ChatterOwnGroups
Chatter and Communities Permissions,Create and Share Links to Chatter Files,Allows the user to Share a Chatter file with anyone by creating a file link and sending it via email or IM.,https://help.salesforce.com/s/articleView?id=sf.collab_files_sharing_people.htm&language=en_US&type=5,ChatterFileLink
Chatter and Communities Permissions,Invite Customers To Chatter,Allows the user to invite customers (non-Salesforce users) to Chatter.,https://help.salesforce.com/s/articleView?id=sf.collab_invite.htm&language=en_US&type=5,ChatterInviteExternalUsers
Chatter and Communities Permissions,Manage Chatter Messages,Allows the user to access all users' messages sent in Chatter through a SOAP API.,https://help.salesforce.com/s/articleView?id=sf.collab_message_overview.htm&language=en_US&type=5,ManageChatterMessages
Chatter and Communities Permissions,Manage Unlisted Groups,Allows the user to view and moderate unlisted Chatter Groups.,https://help.salesforce.com/s/articleView?id=sf.collab_unlisted_groups_overview.htm&language=en_US&type=5,ManageUnlistedGroups
Chatter and Communities Permissions,Moderate Chatter,"Allows the user to deactivate Chatter Free users, assign moderator privileges to Chatter Free users, and remove posts.",https://help.salesforce.com/s/articleView?id=sf.collab_moderate.htm&language=en_US&type=5,ModerateChatter
Chatter and Communities Permissions,Moderate Communities Feeds,Allows the user to moderate Chatter Feeds in Communities.,https://help.salesforce.com/s/articleView?id=sf.networks_moderator_assign.htm&language=en_US&type=5,ModerateNetworkFeeds
Chatter and Communities Permissions,Moderate Communities Files,Allows the user to moderate Chatter Files in Communities.,https://help.salesforce.com/s/articleView?id=sf.networks_moderator_assign.htm&language=en_US&type=5,ModerateNetworkFiles
User Interface Permissions,Hide Option to Switch to Salesforce Classic,Assign to users to remove the switcher to Salesforce Classic option.,https://help.salesforce.com/s/articleView?id=sf.lex_enable_users_disable_switcher.htm&type=5&language=en_US,PreventClassicExperience
User Interface Permissions,Knowledge One,Allows the user to view the Knowledge tab instead of the Articles tab.,https://help.salesforce.com/s/articleView?id=sf.knowledge_tab_enable_premission.htm&language=en_US&type=5,AllowUniversalSearch
User Interface Permissions,Lightning Experience User,Allows a user to access the Lightning Interface.,https://help.salesforce.com/s/articleView?id=sf.lex_enable_turn_on.htm&language=en_US&type=5,LightningExperienceUser
User Interface Permissions,Remain in Salesforce Classic,Allows the users who want to remain on Classic Interface.,none,LtngPromoReserved01UserPerm
User Interface Permissions,Show Custom Sidebar On All Pages,Allows the user to display a custom sidebar on all pages in Salesforce.,https://help.salesforce.com/s/articleView?id=sf.customize_ui_settings.htm&language=en_US&type=5,CustomSidebarOnAllPages
User Interface Permissions,View Global Header,Allows the user view the global header to switch between apps and access personal setup and customization options.,https://help.salesforce.com/s/articleView?id=sf.networks_enable_global_header.htm&type=5&language=en_US,ViewGlobalHeader
Object Permissions,Activate Contracts,Allows the user to change Contract status to Activated.,https://help.salesforce.com/s/articleView?id=sf.contract_activate.htm&language=en_US&type=5,ActivateContract
Object Permissions,Approve Contracts,Allows the user to apply an approved status to a Contract.,https://help.salesforce.com/s/articleView?id=sf.contract_def.htm&language=en_US&type=5,ApproveContract
Object Permissions,Assign Topics,Allows the user to assign existing topics to feed items and remove topics from feed items.,https://help.salesforce.com/s/articleView?id=sf.basics_topics_records_overview.htm&type=5&language=en_US,AssignTopics
Object Permissions,Convert Leads,"Allows the user to convert Leads need ""Create"" and ""Edit"" on Leads, Contacts, and Opportunities with ""Read"" permission on any related Campaigns.",https://help.salesforce.com/s/articleView?id=sf.leads_convert.htm&language=th&type=5,ConvertLeads
Object Permissions,Create and Customize List Views,Allows the user to create list views; modify and delete own list views.,https://help.salesforce.com/s/articleView?id=sf.customviews.htm&language=en_US&type=5,CreateCustomizeFilters
Object Permissions,Create Libraries,Allows the user to create Salesforce CRM Content libraries.,https://help.salesforce.com/s/articleView?id=sf.content_workspace_create.htm&type=5&language=en_US,CreateWorkspaces
Object Permissions,Create Topics,Allows the user to add new Topics to a record.,https://help.salesforce.com/s/articleView?id=sf.basics_add_topics_records.htm&language=en_US&type=5,CreateTopics
Object Permissions,Delete Activated Contracts,Allows the user to delete an activated Contract.,https://help.salesforce.com/s/articleView?id=sf.contract_activate.htm&language=en_US&type=5,DeleteActivatedContract
Object Permissions,Delete Topics,Allows the user to add or delete Topics on a record.,https://help.salesforce.com/s/articleView?id=sf.collab_topics_delete_admin.htm&language=en_US&type=5,DeleteTopics
Object Permissions,Deliver Uploaded Files and Personal Content,Allows the user to create content deliveries from a shared library in Salesforce CRM content.,https://help.salesforce.com/s/articleView?id=sf.content_preview.htm&language=en_US&type=5,DistributeFromPersWksp
Object Permissions,Edit Case Comments,"Allows the user to edit their own case, but not other user's comments.",https://help.salesforce.com/s/articleView?id=sf.case_comments_edit.htm&language=en_US&type=5,EditCaseComments
Object Permissions,Edit Events,"Allows the user to create, edit, and delete events.",https://help.salesforce.com/s/articleView?id=sf.viewing_events_cex.htm&language=en_US&type=5,EditEvent
Object Permissions,Edit HTML Templates,"Allows the user to create, edit, and delete HTML email templates.",https://help.salesforce.com/s/articleView?id=sf.creating_html_email_templates.htm&language=en_US&type=5,EditHtmlTemplates
Object Permissions,Edit Opportunity Product Sales Price,Allows the user to edit the sales price on Opportunity line items.,https://help.salesforce.com/s/articleView?id=000159812&language=en_US&type=1,EditOppLineItemUnitPrice
Object Permissions,Edit Read Only Fields,Allows the user to edit fields that are configured as read only fields due to Page Layouts or Field-level Security.,https://help.salesforce.com/s/articleView?id=sf.users_profiles_field_perms.htm&language=en_US&type=5,EditReadonlyFields
Object Permissions,Edit Topics,Allows the user to edit Topic names and descriptions.,https://help.salesforce.com/s/articleView?id=sf.collab_topics.htm&language=en_US&type=5,EditTopics
Object Permissions,Hide the Seen By List,Removes the Seen by List from the users' view.,https://help.salesforce.com/s/articleView?id=sf.collab_group_seenby.htm&language=en_US&type=5,HideReadByList
Object Permissions,Manage Articles,Allows the user to create article types and article actions.,https://help.salesforce.com/s/articleView?id=sf.knowledge_setup_users.htm&language=en_US&type=5,EditKnowledge
Object Permissions,Manage Call Centers,"Allows the user to import, view, edit, or delete Call Centers in CRM.",https://help.salesforce.com/s/articleView?id=sf.cti_admin_managecc.htm&language=en_US&type=5,ManageCallCenters
Object Permissions,Manage Categories,Allows the user to create or change solutions in the CRM.,https://help.salesforce.com/s/articleView?id=sf.customize_category.htm&language=en_US&type=5,ManageCategories
Object Permissions,Manage Content Properties,"Allows the user to create, edit, and delete custom fields in Salesforce CRM content.",https://help.salesforce.com/s/articleView?id=sf.content_workspace_perm.htm&language=en_US&type=5,ManageContentProperties
Object Permissions,Manage Data Categories,"Allows the user to create, edit, and delete Data Categories.",https://help.salesforce.com/s/articleView?id=sf.category_modify.htm&language=en_US&type=5,ManageDataCategories
Object Permissions,Manage Leads,Allows the user to change the status of multiple Leads in a list view.,https://help.salesforce.com/s/articleView?id=sf.leads_manage_parent.htm&type=5&language=en_US,ManageLeads
Object Permissions,Manage Letterheads,"Allows the user to create, edit, and delete letterheads layouts for HTML emails.",https://help.salesforce.com/s/articleView?id=sf.creating_letterheads.htm&language=en_US&type=5,EditBrandTemplates
Object Permissions,Manage Public Classic Email Templates,"Allows the user to create, edit, and delete text emails, mail merge templates, and folders for public email templates.",https://help.salesforce.com/s/articleView?id=sf.admin_viewing_emailtemplates.htm&type=5&language=en_US,EditPublicTemplates
Object Permissions,Manage Public Documents,"Allows the user to create, edit, and delete folders for public documents.",https://help.salesforce.com/s/articleView?id=sf.customize_folders.htm&language=en_US&type=5,EditPublicDocuments
Object Permissions,Manage Public Lightning Email Templates,"Allows the user to create, edit, and delete text emails, mail merge templates and folders for public email templates.",https://help.salesforce.com/s/articleView?id=sf.email_templates_use_public_lex.htm&type=5&language=en_US,CreateLtngTempInPub
Object Permissions,Manage Public List Views,"Allows the user to create, edit, and delete public list views.",https://help.salesforce.com/s/articleView?id=sf.customviews.htm&language=en_US&type=5,EditPublicFilters
Object Permissions,Manage Published Solutions,"Allows the user to create, edit, and delete Solutions that are accessible to the public on your Self-Service portal or Web site.",https://help.salesforce.com/s/articleView?id=sf.sol_def.htm&language=en_US&type=5,ManageSolutions
Object Permissions,Manage Salesforce CRM Content,Allows the user to make changes in the CRM content.,https://help.salesforce.com/s/articleView?id=sf.content_about.htm&type=5&language=en_US,ContentAdministrator
Object Permissions,Manage Salesforce Knowledge,Allows the user to create article types.,https://help.salesforce.com/s/articleView?id=sf.knowledge_setup_users.htm&language=en_US&type=5,ManageKnowledge
Object Permissions,Mass Edits from Lists,Allows the user to mass edit records from the list view.,https://help.salesforce.com/s/articleView?id=000003911&language=en_US&type=1,MassInlineEdit
Object Permissions,Mass Email,Allows the user to mass email Contacts and Leads.,https://help.salesforce.com/s/articleView?id=sf.email_mass.htm&language=en_US&type=5,EmailMass
Object Permissions,Send Email,Allows the user to send email to a single Contact or Lead.,https://help.salesforce.com/s/articleView?id=sf.email_send.htm&language=en_US&type=5,EmailSingle
Object Permissions,Tag Manager,Allows the user to rename or delete Public Tags.,https://help.salesforce.com/s/articleView?id=sf.customize_tag_settings.htm&type=5&language=en_US,TagManager
Object Permissions,Transfer Cases,Allows the user to change the case owner field on the Case object.,https://help.salesforce.com/s/articleView?id=sf.data_about_transfer.htm&language=en_US&type=5,TransferAnyCase
Object Permissions,Transfer Leads,Allows the user to change the Lead owner field on the Lead object.,https://help.salesforce.com/s/articleView?id=sf.data_about_transfer.htm&language=en_US&type=5,TransferAnyLead
Object Permissions,View Data Categories,Allows the user to view the Data Categories page.,https://help.salesforce.com/s/articleView?id=sf.category_whatis.htm&language=en_US&type=5,ViewDataCategories
Object Permissions,View Encrypted Data,Allows the user to view the value of encrypted fields in plain text.,https://help.salesforce.com/s/articleView?id=sf.fields_about_encrypted_fields.htm&language=en_US&type=5,ViewEncryptedData
Object Permissions,View Help Link,Allows the user to view help link.,https://help.salesforce.com/s/articleView?id=sf.category_whatis.htm&language=en_US&type=5,ViewHelpLink
